PPID,Day,Reported,Estimated,PropPos
9,7,20,0.213401854,0
9,7,14,0.800545904,0.5
9,7,27,0.838175618,1
9,7,14,0.173081188,0
9,7,21,0.838175618,1
9,7,17,0.966903189,1
9,7,19,0.966903189,1
9,7,26,0.966903189,1
9,7,24,0.877860753,1
9,7,21,0.205524164,0
9,8,20,0.966903189,1
9,8,15,0.213401854,0
9,8,27,0.173081188,0
9,8,27,0.838175618,1
9,8,1,0.087967918,0
9,9,26,0.838175618,1
9,9,-15,0.087967918,0
9,9,-13,0.544815281,0.5
9,9,21,0.123329647,0
9,9,-3,0.213401854,0
9,9,7,0.087967918,0
9,9,18,0.087967918,0
9,9,22,0.173081188,0
9,10,15,0.838175618,1
9,10,18,0.877860753,1
9,10,18,0.966903189,1
9,10,22,0.966903189,1
9,10,21,0.266740797,0
9,10,16,0.25387319,0
9,11,2,0.213401854,0
9,11,2,0.838175618,1
9,11,22,0.838175618,1
9,11,15,0.838175618,1
9,11,19,0.607413753,1
9,11,14,0.966903189,1
9,11,16,0.25387319,0
9,11,10,0.25387319,0
9,11,23,0.966903189,1
9,11,15,0.966903189,1
9,12,15,0.838175618,1
9,12,18,0.966903189,1
9,12,18,0.966903189,1
9,12,15,0.173081188,0
9,12,22,0.838175618,1
9,13,13,0.23437063,0
9,13,0,0.23437063,0
9,13,33,0.867519604,1
9,13,16,0.966903189,1
9,13,18,0.173081188,0
9,13,23,0.867519604,1
9,13,12,0.966903189,1
9,13,17,0.966903189,1
9,14,13,0.838175618,1
9,14,18,0.138972641,0
9,14,24,0.173081188,0
9,14,13,0.138972641,0
9,14,20,0.838175618,1
9,14,4,0.138972641,0
9,14,-3,0.213401854,0
9,14,21,0.173081188,0
10,1,14,0.838175618,1
10,2,30,0.838175618,1
10,3,12,0.25818174,0
10,3,13,0.200936812,0
10,3,17,0.25818174,0
10,3,17,0.200936812,0
10,3,17,0.226350719,0
10,3,-18,0.226350719,0
10,4,-18,0.250506106,0
10,4,-22,0.867519604,1
10,4,15,0.838175618,1
10,4,18,0.50157052,1
10,4,14,0.50157052,1
10,4,18,0.838175618,1
10,5,20,0.377327835,0
10,5,14,0.308477226,0
10,5,17,0.838175618,1
10,5,18,0.50157052,1
10,5,14,0.138972641,0
10,5,13,0.50157052,1
10,5,16,0.50157052,1
10,5,16,0.50157052,1
10,5,16,0.50157052,1
10,5,22,0.50157052,1
10,5,13,0.50157052,1
10,5,17,0.50157052,1
10,5,-8,0.23437063,0
10,5,-11,0.23437063,0
10,5,18,0.159729611,0
10,5,18,0.838175618,1
10,5,11,0.838175618,1
10,6,16,0.838175618,1
10,6,11,0.23437063,0
10,6,20,0.215365155,0
10,7,18,0.205524164,0
10,7,15,0.205524164,0
10,7,14,0.864448515,1
10,7,6,0.140615185,0
